IID,Subsistence,Collection,Sex,ForamenMagnumS,ForamenMagnumT,BicondylarBreadth,DepthEOP,LambdaInion,NuchalCrest,NuchalLine,GeneralForm
L19,Agriculture,FSUTC,Female,38.4866666666667,30.3066666666667,52.91,6.67,55.59,1,5,2
L2,Agriculture,FSUTC,Female,37.78,30.8266666666667,49.7033333333333,5.51333333333333,60.7466666666667,0,4,1
L20,Agriculture,FSUTC,Female,37.1233333333333,29.88,45.3733333333333,6.64666666666667,64.8366666666667,1,4,2
L21,Agriculture,FSUTC,Male,35.1766666666667,29.9533333333333,53.39,4.47,55.5033333333333,1,5,1
L24,Agriculture,FSUTC,Female,32.6633333333333,27.9533333333333,47.3933333333333,5.46333333333333,61.45,0,4,2
L26,Agriculture,FSUTC,Male,35.7333333333333,33.4866666666667,54.7333333333333,9.51333333333333,74.4333333333333,1,5,4
L3,Agriculture,FSUTC,Female,35.48,28.6066666666667,47.1633333333333,5.69,63.7666666666667,1,4,2
L38,Agriculture,FSUTC,Male,35.35,32.4966666666667,50.1166666666667,9.37,55.4133333333333,1,4,4
L4,Agriculture,FSUTC,Male,31.0766666666667,28.2033333333333,48.6566666666667,6.97,56.0433333333333,1,4,2
L43,Agriculture,FSUTC,Female,33.03,26.5433333333333,42.6966666666667,6.48333333333333,47.2266666666667,1,4,2
L44,Agriculture,FSUTC,Female,34.2133333333333,27.0566666666667,49.2366666666667,4.71666666666667,58.73,0,3,1
L6,Agriculture,FSUTC,Male,31.9166666666667,27.0033333333333,48.3216666666667,7.32,71.8233333333333,1,4,2
L7,Agriculture,FSUTC,Female,33.8633333333333,30.2833333333333,46.07,4.51333333333333,69.4833333333333,0,4,1
L8,Agriculture,FSUTC,Male,36.4066666666667,31.34,48.5233333333333,8.46666666666667,60.5333333333333,1,5,3
L9,Agriculture,FSUTC,Female,33.9833333333333,27.57,45.8966666666667,4.85333333333333,64.7466666666667,0,3,1
126,Hunter_Gatherer,Hutchinson,Female,32.15,27.4533333333333,46.2266666666667,5.53666666666667,63.5633333333333,0,4,2
A,Hunter_Gatherer,Hutchinson,Male,35.7666666666667,28.7733333333333,50.49,8.70666666666667,70.9133333333333,1,4,4
B,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,4.56666666666667,60.3433333333333,0,3,1
C,Hunter_Gatherer,Hutchinson,Female,31.5066666666667,28.0533333333333,49.0866666666667,5.78,78.2766666666667,1,3,2
E,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,4.89666666666667,60.8966666666667,1,3,2
G,Hunter_Gatherer,Hutchinson,Male,NA,NA,NA,9.15333333333333,68.8266666666667,1,4,4
H,Hunter_Gatherer,Hutchinson,Male,NA,NA,NA,7.59,77.43,1,4,4
I,Hunter_Gatherer,Hutchinson,Male,36.5766666666667,29.49,NA,7.6,64.4233333333333,1,4,3
K,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,5.52,64.8266666666667,0,3,2
L,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,4.3,79.4033333333333,0,3,1
M,Hunter_Gatherer,Hutchinson,Male,NA,NA,NA,6.64333333333333,69.3,1,4,3
N,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,5.78,63.0733333333333,1,3,2
O,Hunter_Gatherer,Hutchinson,Female,NA,NA,NA,4.65333333333333,66.6066666666667,1,2,2
P,Hunter_Gatherer,Hutchinson,Male,NA,NA,NA,8.61333333333333,81.0033333333333,1,4,3
Q,Hunter_Gatherer,Hutchinson,Male,31.31,28.03,50.9166666666667,8.96,61.9366666666667,1,5,4
S,Hunter_Gatherer,Hutchinson,Male,NA,NA,NA,8,70.93,1,4,4
